                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9575,                 3.6706,                 3.6973,                 0.1007,                0.13841,                0.04322,                0.01157,                 2.4415,                 4.0358,                 3.2768,             0.00055417,             0.00055417,             0.00055417
                      2,                  2.077,                 2.9135,                 2.6067,                0.25203,                 0.2899,                0.16849,                0.07263,                 2.0358,                 2.9168,                 2.7107,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.7764,                 2.4995,                 2.2646,                0.29657,                0.39627,                0.23321,                 0.1216,                 1.7808,                 2.4363,                 2.4011,              0.0016325,              0.0016325,              0.0016325
                      4,                 1.6329,                 2.2882,                 2.1154,                0.32509,                0.40151,                0.26156,                0.14063,                 1.7019,                 2.3157,                 2.2781,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5277,                 2.1505,                 2.0112,                0.41887,                0.35581,                0.32073,                0.18564,                 1.6269,                 2.3577,                  2.253,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.4779,                 2.0554,                  1.959,                0.50867,                0.41047,                0.42968,                0.27013,                 1.5074,                 1.9385,                 2.0763,               0.001601,               0.001601,               0.001601
                      7,                 1.4211,                 1.9535,                 1.9028,                0.55708,                0.42475,                0.46805,                0.30319,                 1.4363,                 1.8559,                 1.9919,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.3697,                 1.8549,                 1.8406,                0.46297,                0.46821,                0.44016,                  0.276,                 1.4655,                  1.895,                 2.0212,               0.001568,               0.001568,               0.001568
                      9,                 1.3174,                 1.7806,                 1.8007,                0.60319,                0.43199,                0.48803,                0.31822,                 1.4093,                 1.7832,                 1.9668,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3301,                 1.7567,                 1.7948,                0.61355,                0.49204,                0.53862,                0.35773,                 1.3525,                 1.6226,                 1.8912,               0.001535,               0.001535,               0.001535
                     11,                 1.2667,                 1.6752,                 1.7358,                0.63705,                0.47884,                0.54269,                0.36343,                 1.3198,                 1.6193,                 1.8469,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2625,                 1.6369,                 1.7254,                0.64003,                 0.5095,                0.57128,                0.38759,                 1.3168,                 1.5325,                 1.8373,               0.001502,               0.001502,               0.001502
                     13,                 1.2288,                 1.5712,                 1.7044,                0.66634,                0.50832,                0.57558,                0.39189,                 1.2759,                 1.4866,                 1.7833,              0.0014855,              0.0014855,              0.0014855
                     14,                   1.22,                 1.5533,                 1.6874,                0.70181,                0.53114,                0.60548,                0.42096,                 1.2669,                 1.4234,                 1.7886,               0.001469,               0.001469,               0.001469
